เลขรับ	ผลของการสั่งคดี	ฟ้องชาย	ฟ้องหญิง	ฟ้อง	ไม่ฟ้อง	อื่นๆ	วันสั่ง	เหตุผลที่สั่งไม่ฟ้อง	วันเสนอ	คำสั่งของกลาง	เหตุผลที่ไม่ริบของกลาง	วันแจ้งเขตของกลาง	สอบเพิ่มเติม	วันแจ้งเขตอก54	เหตุที่ค้าง	ครั้งที่เตือน	วันที่เตือน	อายุความ	วันแจ้งของกลาง	เลขออกอก46	วันที่สำนวนไป	ทีอยู่สำนวน	เก็บไม่ฟ้อง	เก็บสั่งจับ	ข้อเท็จจริง
"1500/2548"	"ฟ้องศาล"	1	0	0	0	0	"07/06/05 00:00:00"											0							
"1748/2548"	"ฟ้องศาล"	1	0	0	0	0	"07/07/05 00:00:00"											0							
"ว.1690/2548"	"ฟ้องศาล"	1	3	0	0	0	"07/06/05 00:00:00"											0							
"ว.1691/2548"	"ฟ้องศาล"	4	4	0	0	0	"07/06/05 00:00:00"											0							
"ว.1694/2548"	"ฟ้องศาล"	1	4	0	0	0	"07/06/05 00:00:00"											0							
"ว.1697/2548"	"ฟ้องศาล"	1	0	0	0	0	"07/07/05 00:00:00"											0							
"ว.1698/2548"	"ฟ้องศาล"	1	0	0	0	0	"07/07/05 00:00:00"											0							
"ว.1699/2548"	"ฟ้องศาล"	3	2	0	0	0	"07/07/05 00:00:00"											0							
"ว.1700/2548"	"ฟ้องศาล"	3	3	0	0	0	"07/07/05 00:00:00"											0							
"ว.1701/2548"	"ฟ้องศาล"	6	6	0	0	0	"07/07/05 00:00:00"											0							
"ว.1702/2548"	"ฟ้องศาล"	4	5	0	0	0	"07/07/05 00:00:00"											0							
"ว.1707/2548"	"ฟ้องศาล"	1	2	0	0	0	"07/08/05 00:00:00"											0							
"ว.1710/2548"	"ฟ้องศาล"	6	5	0	0	0	"07/08/05 00:00:00"											0							
"ว.1711/2548"	"ฟ้องศาล"	3	1	0	0	0	"07/08/05 00:00:00"											0							
"ว.1712/2548"	"ฟ้องศาล"	5	2	0	0	0	"07/08/05 00:00:00"											0							
"ว.1718/2548"	"ฟ้องศาล"	1	0	1	0	0	"07/09/05 00:00:00"		"08/17/05 00:00:00"									0							
"ว.1719/2548"	"ฟ้องศาล"	1	0	0	0	0	"07/09/05 00:00:00"											0							
"1841/2548"	"ฟ้องศาล     11  กรกฎาคม 2548"	1	0	1	0	0	"07/05/05 00:00:00"											0							
